MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
145.9;0;0;145.9;-0.926;4.651;0
150;0.09;227.76;150;-0.929;4.648;0.66
160;0.2;225.57;160;-0.947;4.631;0.33
170;0.19;227.59;170;-0.972;4.608;0.04
180;0.23;231.32;180;-1;4.584;0.13
190;0.23;233.02;190;-1.031;4.559;0.02
200;0.22;235.12;200;-1.063;4.536;0.04
202;0.22;235.01;202;-1.07;4.531;0.06
210;0.24;234.55;210;-1.096;4.513;0.06
220;0.34;239.76;220;-1.138;4.486;0.31
230;0.42;244.41;230;-1.197;4.455;0.26
240;0.57;252.51;240;-1.278;4.424;0.5
250;0.92;274.57;250;-1.405;4.416;1.34
260;1.13;286.19;260;-1.58;4.45;0.88
270;1.16;287.83;270;-1.771;4.508;0.13
280;1.2;290.33;280;-1.965;4.576;0.2
290;1.24;293.03;290;-2.163;4.654;0.21
300;1.2;293.2;300;-2.359;4.738;0.12
310;1.19;294.42;310;-2.55;4.822;0.08
320;1.15;292.81;320;-2.737;4.904;0.16
330;1.12;290.98;330;-2.921;4.978;0.14
340;1.1;290.84;340;-3.102;5.047;0.06
350;1.08;288.68;350;-3.281;5.111;0.14
360;1.07;287.43;360;-3.459;5.169;0.08
370;1.1;286.47;370;-3.64;5.225;0.11
380;1.19;289.32;380;-3.83;5.286;0.32
390;1.33;294.68;390;-4.034;5.369;0.55
400;1.73;303.22;400;-4.265;5.5;1.38
410;1.86;305.68;410;-4.523;5.677;0.45
420;1.89;306.23;420;-4.788;5.87;0.1
430;1.96;306.14;430;-5.059;6.068;0.21
440;1.99;306.93;439.9;-5.336;6.273;0.12
450;2.01;307.01;449.9;-5.615;6.483;0.06
460;1.99;307.09;459.9;-5.894;6.693;0.06
470;2.03;307.66;469.9;-6.172;6.906;0.13
480;2.06;308.33;479.9;-6.454;7.126;0.12
490;2.05;307.74;489.9;-6.736;7.347;0.07
500;2.1;310.18;499.9;-7.017;7.574;0.3
510;2.11;309.44;509.9;-7.3;7.81;0.09
520;2.12;308.88;519.9;-7.586;8.043;0.07
530;2.09;308.61;529.9;-7.872;8.273;0.09
540;2.13;310.13;539.9;-8.157;8.506;0.21
550;2.13;309.28;549.9;-8.443;8.744;0.09
560;2.12;309.17;559.9;-8.73;8.978;0.03
570;2.13;309.03;569.9;-9.018;9.212;0.03
580;2.16;309.02;579.9;-9.308;9.448;0.09
590;2.14;309.85;589.9;-9.598;9.686;0.11
600;2.18;309.02;599.8;-9.889;9.925;0.15
610;2.15;308.45;609.8;-10.184;10.162;0.11
620;2.13;307.49;619.8;-10.478;10.391;0.12
630;2.01;302.74;629.8;-10.773;10.599;0.63
640;1.68;284.45;639.8;-11.063;10.731;2.01
650;1.63;275.56;649.8;-11.346;10.781;0.78
660;1.66;272.6;659.8;-11.633;10.801;0.27
670;1.79;276.8;669.8;-11.932;10.827;0.54
680;2.11;265.05;679.8;-12.271;10.829;1.53
690;2.45;259.38;689.8;-12.664;10.774;1.22
700;2.77;256.59;699.8;-13.109;10.678;1.03
710;3.19;251.91;709.8;-13.609;10.536;1.46
720;4.01;244.94;719.7;-14.19;10.301;2.78
730;4.67;241.67;729.7;-14.865;9.96;2.11
740;5.38;239.18;739.7;-15.626;9.527;2.23
750;6.03;237.66;749.6;-16.473;9.006;2
760;6.89;236.29;759.6;-17.415;8.392;2.62
770;7.68;235.54;769.5;-18.465;7.681;2.39
780;8.37;235.75;779.4;-19.618;6.893;2.07
790;9.33;235.86;789.3;-20.89;6.028;2.88
800;10.21;236.82;799.1;-22.303;5.089;2.68
810;10.79;237.99;809;-23.839;4.107;1.85
820;11.33;239.39;818.8;-25.478;3.111;1.81
830;11.93;242.49;828.6;-27.24;2.133;2.6
840;12.31;246.06;838.3;-29.131;1.223;2.52
850;12.52;249.24;848.1;-31.119;0.407;2.15
860;12.79;252.71;857.9;-33.189;-0.307;2.42
870;12.84;255.52;867.6;-35.322;-0.913;1.88
880;12.75;256.87;877.4;-37.473;-1.442;0.94
890;12.55;257.29;887.1;-39.607;-1.932;0.66
900;12.18;258.31;896.9;-41.7;-2.384;1.29
910;11.4;260.19;906.7;-43.707;-2.767;2.61
920;10.91;261.87;916.5;-45.617;-3.069;1.76
930;10.76;262.94;926.3;-47.481;-3.317;0.75
940;10.58;264.05;936.1;-49.32;-3.527;0.82
950;10.53;264.5;946;-51.143;-3.71;0.29
960;10.52;265.36;955.8;-52.962;-3.871;0.47
970;10.48;266.01;965.6;-54.779;-4.009;0.38
980;10.36;267.69;975.5;-56.585;-4.108;0.98
990;10.31;270.33;985.3;-58.378;-4.139;1.43
1000;10.29;272.52;995.1;-60.166;-4.095;1.18
1010;10.34;273.32;1005;-61.954;-4.004;0.46
1020;10.39;274.63;1014.8;-63.749;-3.879;0.72
1030;10.48;275.34;1024.7;-65.553;-3.721;0.47
1040;10.47;275.48;1034.5;-67.363;-3.55;0.08
1050;10.49;275.78;1044.3;-69.173;-3.371;0.17
1060;10.66;277.07;1054.2;-70.997;-3.166;0.87
1070;11.01;278.92;1064;-72.858;-2.904;1.48
1080;11.46;281.15;1073.8;-74.776;-2.564;1.88
1090;12.02;283.68;1083.6;-76.762;-2.125;2.28
1100;13.04;287.32;1093.3;-78.851;-1.543;3.87
1110;14.19;289.87;1103.1;-81.081;-0.791;3.89
1120;15.14;291.09;1112.7;-83.452;0.096;3
1130;16.29;291.76;1122.4;-85.973;1.086;3.49
1140;18.12;291.94;1131.9;-88.718;2.187;5.49
1150;19.37;291.62;1141.4;-91.703;3.379;3.76
1160;20.2;291.03;1150.8;-94.856;4.609;2.56
1170;20.94;290.28;1160.2;-98.143;5.848;2.36
1180;21.74;288.95;1169.5;-101.571;7.069;2.8
1190;22.06;288.24;1178.7;-105.107;8.258;1.25
1200;22.3;287.56;1188;-108.699;9.418;1.05
1210;22.53;286.61;1197.2;-112.344;10.538;1.29
1220;22.78;285.44;1206.5;-116.046;11.602;1.55
1230;22.91;284.77;1215.7;-119.794;12.613;0.87
1240;22.99;284.46;1224.9;-123.567;13.597;0.43
1250;23.1;284.53;1234.1;-127.357;14.577;0.34
1260;23.02;284.46;1243.3;-131.149;15.557;0.25
1270;22.4;284.23;1252.5;-134.889;16.514;1.88
1280;22.06;284.22;1261.8;-138.557;17.444;1.02
1290;21.49;284.19;1271.1;-142.153;18.354;1.71
1300;20.95;283.85;1280.4;-145.665;19.231;1.66
1310;20.83;283.6;1289.7;-149.128;20.077;0.45
1320;20.85;283.68;1299.1;-152.586;20.916;0.1
1330;21.02;283.73;1308.4;-156.057;21.762;0.51
1340;21.31;283.42;1317.7;-159.567;22.61;0.93
1350;21.61;283.17;1327.1;-163.127;23.451;0.94
1358;21.9;282.7;1334.5;-166.022;24.113;1.26
1360;21.97;282.58;1336.3;-166.746;24.278;1.27
1370;22.45;281.18;1345.6;-170.445;25.056;2.14
1380;23.22;278.29;1354.8;-174.269;25.71;4.08
1390;23.84;276.25;1364;-178.229;26.214;3.07
1400;24.53;274.57;1373.1;-182.307;26.6;2.92
1410;25.42;271.77;1382.2;-186.522;26.832;4.44
1420;26.38;269.11;1391.2;-190.888;26.863;4.52
1430;27.21;266.65;1400.1;-195.392;26.695;4.16
1440;27.94;264.45;1409;-200.007;26.335;3.76
1450;28.74;261.88;1417.8;-204.719;25.769;4.38
1460;29.48;260.21;1426.5;-209.524;25.011;3.3
1470;29.92;259.85;1435.2;-214.403;24.153;1.42
1480;30.4;259.6;1443.8;-219.347;23.257;1.49
1490;31.22;259.49;1452.4;-224.384;22.327;2.47
1500;31.87;259.45;1460.9;-229.527;21.371;1.95
1510;32.35;259.26;1469.4;-234.751;20.389;1.47
1520;32.72;259.31;1477.8;-240.036;19.389;1.11
1530;33.21;259.32;1486.2;-245.383;18.38;1.47
1540;33.41;259.4;1494.6;-250.78;17.366;0.61
1550;33.61;259.49;1502.9;-256.207;16.355;0.62
1560;33.95;259.53;1511.2;-261.674;15.343;1.02
1570;34.05;259.37;1519.5;-267.172;14.319;0.4
1580;34.02;258.98;1527.8;-272.669;13.268;0.66
1590;34.03;258.75;1536.1;-278.159;12.187;0.39
1600;33.97;258.48;1544.4;-283.641;11.083;0.49
1610;34;258.45;1552.7;-289.118;9.966;0.1
1620;34.2;258.47;1561;-294.611;8.844;0.6
1630;34.38;258.36;1569.2;-300.13;7.713;0.57
1640;34.44;258.17;1577.5;-305.663;6.563;0.37
1650;34.42;257.88;1585.7;-311.194;5.39;0.5
1660;34.35;257.77;1594;-316.715;4.199;0.28
1670;34.31;257.67;1602.2;-322.225;3;0.21
1680;34.23;257.7;1610.5;-327.726;1.799;0.25
1690;34.23;257.66;1618.8;-333.222;0.598;0.07
1700;34.3;257.68;1627;-338.722;-0.604;0.21
1710;34.41;257.59;1635.3;-344.235;-1.812;0.36
1720;34.04;257.5;1643.6;-349.727;-3.025;1.12
1730;33.09;257.75;1651.9;-355.127;-4.21;2.88
1740;32.35;258.27;1660.3;-360.414;-5.333;2.37
1750;31.64;258.71;1668.8;-365.606;-6.391;2.24
1760;30.59;259.3;1677.3;-370.679;-7.377;3.28
1770;29.68;259.79;1686;-375.616;-8.288;2.83
1780;29.07;260.04;1694.7;-380.445;-9.147;1.87
1790;28.52;260.12;1703.5;-385.19;-9.977;1.65
1800;27.54;260.26;1712.3;-389.82;-10.778;2.95
1810;26.37;260.65;1721.2;-394.29;-11.53;3.55
1820;25.69;260.79;1730.2;-398.621;-12.237;2.05
1830;25.1;261.16;1739.2;-402.857;-12.91;1.83
