MD (m RKB);TVD (m RKB);E/W (m);N/S (m);Section (in)
145.9;145.9;3.532;-3.169;30
153.4;153.4;3.523;-3.172;30
221;221;3.531;-3.333;30
221;221;3.531;-3.333;20
234.2;234.2;3.532;-3.365;20
274.6;274.6;3.777;-3.646;20
315;315;4.371;-4.163;20
355.3;355.3;5.767;-5.153;20
395.7;395.5;8.206;-6.912;20
436.1;435.8;10.921;-9.467;20
474.4;473.9;12.999;-12.52;20
514.8;514.1;14.553;-16.355;20
557.1;556.1;15.588;-21.099;20
597.5;596.2;16.223;-26.252;20
637.8;636.1;16.787;-31.912;20
678.2;676;17.313;-38.011;20
718.5;715.8;17.701;-44.4;20
758.9;755.6;17.502;-51.243;20
799.3;795.2;16.18;-58.857;20
839.7;834.6;13.636;-67.417;20
880;873.7;10.142;-76.815;20
920.4;912.8;6.31;-86.123;20
960.8;952;2.573;-95.245;20
1001.1;990.8;-1.281;-105.315;20
1041.6;1029.7;-5.366;-116.01;20
1081.9;1068.3;-9.809;-126.371;20
1122.3;1107;-15.426;-136.633;20
1162.6;1145.4;-22.662;-146.39;20
1203;1184.1;-30.997;-154.571;20
1243.3;1222.9;-39.524;-161.354;20
1283.8;1261.7;-49.087;-168.032;20
1324.1;1299.6;-60.743;-174.978;20
1364.5;1336.8;-74.67;-182.344;20
1368;1340;-76.028;-183.037;20
1368;1340;-76.028;-183.037;13.375
1383;1353.5;-81.85;-186.005;13.375
1406;1374.1;-90.567;-191.26;13.375
1445;1409.4;-102.971;-202.067;13.375
1487;1448.1;-112.839;-215.086;13.375
1544;1501.4;-120.418;-233.882;13.375
1584;1538.8;-122.111;-247.93;13.375
1625;1577;-121.095;-262.586;13.375
1665;1614.4;-117.505;-276.396;13.375
1705;1651.6;-111.428;-289.725;13.375
1746;1689.2;-103.127;-303.78;13.375
1786;1725.2;-93.321;-318.32;13.375
1827;1761.5;-82.192;-333.61;13.375
1867;1796.9;-71.042;-348.659;13.375
1907;1832.3;-59.96;-363.52;13.375
1948;1868.8;-48.766;-378.547;13.375
1988;1904.3;-37.809;-393.423;13.375
2028;1939.6;-26.945;-408.576;13.375
2069;1976;-16.703;-424.586;13.375
2109;2011.6;-8.263;-440.703;13.375
2149;2047.6;-1.957;-456.968;13.375
2190;2084.9;1.991;-473.519;13.375
2230;2121.4;4.125;-489.783;13.375
2270;2157.9;4.656;-506.101;13.375
2311;2195.2;3.064;-522.865;13.375
2351;2231.5;-0.318;-539.338;13.375
2392;2268.6;-5.921;-556.03;13.375
2432;2304.3;-13.883;-572.028;13.375
2486;2352;-28.288;-592.776;13.375
2513;2375.5;-37.112;-602.732;13.375
2544.3;2402.3;-48.68;-614.138;13.375
2562;2416.9;-56.213;-620.599;13.375
2562;2416.9;-56.213;-620.599;8.5
2584.6;2435.6;-65.832;-628.849;8.5
2624.9;2467.6;-85.637;-643.425;8.5
2665.3;2498.3;-107.927;-657.081;8.5
2705.6;2528;-132.32;-669.504;8.5
2746;2556.5;-158.612;-680.487;8.5
2786.4;2583.8;-186.616;-690.509;8.5
2826.7;2609.7;-215.915;-700.444;8.5
2867.1;2634.8;-245.864;-710.538;8.5
2907.4;2660.5;-275.337;-720.469;8.5
2947.7;2686.8;-304.813;-728.667;8.5
2988.1;2712.6;-335.28;-733.946;8.5
3028.4;2737.6;-366.768;-737.119;8.5
3068.7;2760.7;-399.75;-739.298;8.5
3109;2781.6;-434.184;-740.551;8.5
3149.4;2801.8;-469.111;-740.886;8.5
3189.7;2822.1;-503.96;-740.119;8.5
3199.8;2827.1;-512.732;-739.765;8.5
3241.7;2845.1;-550.371;-737.229;8.5
3280.7;2857.8;-586.983;-732.986;8.5
3321.4;2866;-626.437;-727.275;8.5
3361.7;2870.4;-666.074;-721.107;8.5
3401.3;2873.5;-704.915;-714.586;8.5
3442.6;2877.1;-745.487;-707.359;8.5
3482.5;2881.7;-784.428;-700.058;8.5
3523.2;2888;-823.719;-691.61;8.5
3563.5;2896.8;-861.75;-681.809;8.5
3604;2908.2;-899.07;-670.615;8.5
3644.2;2921.8;-934.774;-658.283;8.5
3684.1;2938.3;-968.764;-645.589;8.5
3713.9;2952.7;-993.284;-636.565;8.5
3754.3;2974.4;-1025.21;-624.956;8.5
3794.6;2998.3;-1055.631;-613.37;8.5
3835;3023.8;-1084.287;-600.911;8.5
3875.3;3050.6;-1111.203;-587.395;8.5
3915.6;3078.3;-1137.048;-573.748;8.5
3955.9;3107.1;-1161.98;-560.66;8.5
3996.2;3136.9;-1186.035;-547.949;8.5
4018.7;3153.8;-1199.046;-541.012;8.5
4095;3212.1;-1242.526;-517.815;8.5
